flight_id,scheduled_time,pax_count,delay_min,checkin_desks
AA142,2026-05-04 12:30:00,174,0,2
BA143,2026-05-04 12:15:00,167,10,2
BA144,2026-05-04 13:45:00,166,45,2
UA145,2026-05-04 13:45:00,162,30,2
AA146,2026-05-04 14:30:00,194,0,2
TK147,2026-05-04 14:00:00,192,0,2
EK148,2026-05-04 15:00:00,222,20,2
EK149,2026-05-04 15:15:00,189,0,2
FR150,2026-05-04 16:15:00,209,0,2
QR151,2026-05-04 16:45:00,225,0,2
AA152,2026-05-04 17:45:00,365,0,4
DL153,2026-05-04 17:00:00,280,10,3
BA154,2026-05-04 17:00:00,386,0,4
UA155,2026-05-04 18:30:00,408,0,5
AA156,2026-05-04 18:30:00,284,0,3
AA157,2026-05-04 18:15:00,336,45,4
AF158,2026-05-04 19:30:00,282,0,3
UA159,2026-05-04 19:30:00,266,10,3
TK160,2026-05-04 20:00:00,203,0,2
BA161,2026-05-04 20:15:00,197,0,2
BA162,2026-05-04 21:15:00,185,0,2
BA163,2026-05-04 21:00:00,154,0,2
LH164,2026-05-04 22:15:00,120,0,2
UA165,2026-05-05 05:15:00,126,5,2
FR166,2026-05-05 05:45:00,123,0,2
UA167,2026-05-05 06:15:00,188,10,2
QR168,2026-05-05 06:45:00,228,30,2
BA169,2026-05-05 06:00:00,152,0,2
TK170,2026-05-05 07:00:00,237,10,2
UA171,2026-05-05 07:15:00,275,45,3
DL172,2026-05-05 07:15:00,257,0,3
AA173,2026-05-05 07:30:00,304,0,3
FR174,2026-05-05 08:45:00,341,0,4
FR175,2026-05-05 08:30:00,291,5,3
LH176,2026-05-05 08:45:00,188,5,2
UA177,2026-05-05 09:45:00,131,0,2
DL178,2026-05-05 09:00:00,130,0,2
AF179,2026-05-05 10:30:00,109,0,2
EK180,2026-05-05 10:45:00,118,0,2
UA181,2026-05-05 11:00:00,148,0,2
BA182,2026-05-05 11:00:00,116,0,2
BA183,2026-05-05 12:15:00,141,0,2
FR184,2026-05-05 12:15:00,130,0,2
QR185,2026-05-05 13:15:00,136,0,2
EK186,2026-05-05 13:15:00,150,0,2
AA187,2026-05-05 14:15:00,144,0,2
DL188,2026-05-05 14:15:00,174,0,2
EK189,2026-05-05 15:00:00,195,0,2
EK190,2026-05-05 15:15:00,153,5,2
EK191,2026-05-05 16:15:00,214,0,2
UA192,2026-05-05 16:30:00,202,15,2
QR193,2026-05-05 17:15:00,263,0,3
QR194,2026-05-05 17:30:00,247,0,3
QR195,2026-05-05 17:00:00,269,0,3
FR196,2026-05-05 18:00:00,298,0,3
LH197,2026-05-05 18:30:00,297,0,3
EK198,2026-05-05 18:30:00,284,0,3
BA199,2026-05-05 19:00:00,242,0,3
EK200,2026-05-05 19:15:00,234,0,2
AA201,2026-05-05 20:30:00,206,0,2
TK202,2026-05-05 20:00:00,142,0,2
EK203,2026-05-05 21:45:00,127,0,2
EK204,2026-05-05 21:30:00,136,0,2
UA205,2026-05-05 22:00:00,130,0,2
AF206,2026-05-06 05:45:00,123,10,2
DL207,2026-05-06 05:15:00,116,0,2
EK208,2026-05-06 06:15:00,203,0,2
AF209,2026-05-06 06:15:00,184,5,2
AA210,2026-05-06 06:15:00,153,0,2
FR211,2026-05-06 07:45:00,199,0,2
LH212,2026-05-06 07:15:00,236,0,2
UA213,2026-05-06 07:00:00,236,0,2
UA214,2026-05-06 07:45:00,240,0,3
BA215,2026-05-06 08:00:00,303,0,3
EK216,2026-05-06 08:00:00,281,0,3
AA217,2026-05-06 08:15:00,157,0,2
BA218,2026-05-06 09:00:00,158,30,2
DL219,2026-05-06 09:45:00,154,0,2
EK220,2026-05-06 10:30:00,131,5,2
DL221,2026-05-06 10:30:00,117,0,2
FR222,2026-05-06 11:00:00,114,0,2
QR223,2026-05-06 11:15:00,116,15,2
DL224,2026-05-06 12:15:00,157,0,2
AA225,2026-05-06 12:00:00,131,5,2
UA226,2026-05-06 13:00:00,129,0,2
TK227,2026-05-06 13:15:00,113,0,2
DL228,2026-05-06 14:30:00,149,0,2
AA229,2026-05-06 14:45:00,157,0,2
AF230,2026-05-06 15:45:00,173,0,2
TK231,2026-05-06 15:00:00,148,0,2
FR232,2026-05-06 16:00:00,162,0,2
AF233,2026-05-06 16:00:00,200,0,2
EK234,2026-05-06 17:00:00,230,10,2
BA235,2026-05-06 17:45:00,235,5,2
UA236,2026-05-06 17:00:00,256,5,3
LH237,2026-05-06 18:30:00,309,0,3
FR238,2026-05-06 18:15:00,249,0,3
FR239,2026-05-06 18:45:00,258,0,3
EK240,2026-05-06 19:15:00,232,15,2
EK241,2026-05-06 19:15:00,174,0,2
LH242,2026-05-06 20:45:00,175,0,2
FR243,2026-05-06 20:00:00,172,5,2
AF244,2026-05-06 21:00:00,138,0,2
AF245,2026-05-06 21:30:00,125,20,2
BA246,2026-05-06 22:30:00,106,0,2
QR247,2026-05-07 05:15:00,132,0,2
EK248,2026-05-07 05:00:00,155,0,2
QR249,2026-05-07 06:30:00,193,0,2
QR250,2026-05-07 06:15:00,239,0,2
AF251,2026-05-07 06:30:00,174,0,2
AA252,2026-05-07 07:15:00,237,0,2
DL253,2026-05-07 07:45:00,256,0,3
AF254,2026-05-07 07:15:00,234,0,2
AF255,2026-05-07 07:00:00,337,0,4
TK256,2026-05-07 08:15:00,273,0,3
AF257,2026-05-07 08:00:00,330,0,4
AA258,2026-05-07 08:15:00,157,45,2
TK259,2026-05-07 09:30:00,164,0,2
AA260,2026-05-07 09:30:00,136,15,2
DL261,2026-05-07 10:00:00,125,10,2
UA262,2026-05-07 10:15:00,112,5,2
AF263,2026-05-07 11:15:00,141,0,2
TK264,2026-05-07 11:30:00,121,0,2
DL265,2026-05-07 12:30:00,172,0,2
TK266,2026-05-07 12:15:00,156,10,2
EK267,2026-05-07 13:45:00,165,10,2
TK268,2026-05-07 13:00:00,147,0,2
QR269,2026-05-07 14:30:00,170,0,2
EK270,2026-05-07 14:30:00,168,15,2
EK271,2026-05-07 15:15:00,196,45,2
BA272,2026-05-07 15:15:00,192,0,2
UA273,2026-05-07 16:15:00,191,0,2
BA274,2026-05-07 16:30:00,207,5,2
UA275,2026-05-07 17:30:00,257,15,3
FR276,2026-05-07 17:15:00,303,0,3
LH277,2026-05-07 17:30:00,298,0,3
QR278,2026-05-07 18:00:00,314,5,3
FR279,2026-05-07 18:15:00,332,0,4
EK280,2026-05-07 18:15:00,303,0,3
AA281,2026-05-07 19:30:00,279,5,3
EK282,2026-05-07 19:15:00,188,0,2
AF283,2026-05-07 20:15:00,197,0,2
FR284,2026-05-07 20:15:00,187,45,2
AF285,2026-05-07 21:00:00,135,0,2
QR286,2026-05-07 21:15:00,131,10,2
AF287,2026-05-07 22:15:00,104,0,2
AF288,2026-05-08 05:15:00,153,0,2
EK289,2026-05-08 05:00:00,156,0,2
TK290,2026-05-08 06:15:00,247,0,3
FR291,2026-05-08 06:15:00,296,0,3
AA292,2026-05-08 06:15:00,186,0,2
BA293,2026-05-08 07:30:00,252,5,3
AA294,2026-05-08 07:30:00,314,0,3
UA295,2026-05-08 07:30:00,293,0,3
BA296,2026-05-08 07:30:00,377,20,4
LH297,2026-05-08 08:45:00,351,0,4
UA298,2026-05-08 08:30:00,357,0,4
QR299,2026-05-08 08:00:00,233,0,2
EK300,2026-05-08 09:45:00,205,0,2
UA301,2026-05-08 09:15:00,177,0,2
AF302,2026-05-08 10:00:00,132,30,2
AA303,2026-05-08 10:15:00,126,0,2
AA304,2026-05-08 11:00:00,182,0,2
DL305,2026-05-08 11:30:00,141,20,2
BA306,2026-05-08 12:45:00,200,5,2
UA307,2026-05-08 12:15:00,193,45,2
QR308,2026-05-08 13:00:00,187,0,2
TK309,2026-05-08 13:00:00,182,0,2
FR310,2026-05-08 14:00:00,184,0,2
QR311,2026-05-08 14:30:00,170,0,2
TK312,2026-05-08 15:30:00,243,30,3
TK313,2026-05-08 15:00:00,208,10,2
AA314,2026-05-08 16:30:00,238,10,2
UA315,2026-05-08 16:15:00,246,0,3
TK316,2026-05-08 17:30:00,368,0,4
AA317,2026-05-08 17:30:00,281,0,3
UA318,2026-05-08 17:45:00,404,0,5
UA319,2026-05-08 18:00:00,441,0,5
TK320,2026-05-08 18:30:00,355,45,4
DL321,2026-05-08 18:00:00,338,20,4
AA322,2026-05-08 19:30:00,344,0,4
EK323,2026-05-08 19:00:00,227,0,2
QR324,2026-05-08 20:45:00,261,5,3
AA325,2026-05-08 20:30:00,199,5,2
UA326,2026-05-08 21:30:00,178,0,2
AA327,2026-05-08 21:45:00,166,0,2
AA328,2026-05-08 22:00:00,165,0,2
FR329,2026-05-09 05:00:00,164,0,2
AF330,2026-05-09 05:00:00,197,0,2
UA331,2026-05-09 06:30:00,289,20,3
EK332,2026-05-09 06:00:00,306,0,3
DL333,2026-05-09 06:45:00,257,0,3
QR334,2026-05-09 07:00:00,276,0,3
EK335,2026-05-09 07:15:00,313,20,3
TK336,2026-05-09 07:15:00,368,0,4
AA337,2026-05-09 07:00:00,392,0,4
UA338,2026-05-09 08:00:00,386,0,4
DL339,2026-05-09 08:15:00,433,15,5
QR340,2026-05-09 08:15:00,242,5,3
QR341,2026-05-09 09:00:00,232,10,2
QR342,2026-05-09 09:45:00,181,0,2
QR343,2026-05-09 10:30:00,192,10,2
UA344,2026-05-09 10:30:00,163,0,2
BA345,2026-05-09 11:45:00,168,0,2
BA346,2026-05-09 11:45:00,175,0,2
DL347,2026-05-09 12:00:00,229,0,2
EK348,2026-05-09 12:15:00,205,0,2
EK349,2026-05-09 13:30:00,216,5,2
QR350,2026-05-09 13:30:00,209,0,2
FR351,2026-05-09 14:00:00,243,0,3
TK352,2026-05-09 14:45:00,222,5,2
DL353,2026-05-09 15:00:00,260,15,3
BA354,2026-05-09 15:30:00,249,0,3
UA355,2026-05-09 16:15:00,306,0,3
UA356,2026-05-09 16:15:00,280,0,3
QR357,2026-05-09 17:45:00,329,0,4
EK358,2026-05-09 17:00:00,310,0,3
TK359,2026-05-09 17:00:00,436,0,5
BA360,2026-05-09 18:15:00,420,10,5
LH361,2026-05-09 18:00:00,423,0,5
AF362,2026-05-09 18:15:00,412,0,5
FR363,2026-05-09 19:00:00,333,0,4
LH364,2026-05-09 19:45:00,247,15,3
TK365,2026-05-09 20:30:00,219,5,2
DL366,2026-05-09 20:00:00,189,0,2
UA367,2026-05-09 21:30:00,205,0,2
QR368,2026-05-09 21:00:00,191,0,2
LH369,2026-05-09 22:30:00,157,10,2
AF370,2026-05-10 05:45:00,120,0,2
EK371,2026-05-10 05:30:00,150,20,2
BA372,2026-05-10 06:45:00,245,15,3
BA373,2026-05-10 06:30:00,288,5,3
AF374,2026-05-10 06:30:00,195,0,2
AA375,2026-05-10 07:30:00,296,0,3
EK376,2026-05-10 07:00:00,342,0,4
BA377,2026-05-10 07:45:00,270,10,3
LH378,2026-05-10 07:45:00,373,10,4
BA379,2026-05-10 08:30:00,381,0,4
QR380,2026-05-10 08:45:00,375,0,4
LH381,2026-05-10 08:15:00,183,0,2
AF382,2026-05-10 09:45:00,187,0,2
EK383,2026-05-10 09:15:00,163,0,2
BA384,2026-05-10 10:30:00,171,0,2
AF385,2026-05-10 10:15:00,145,0,2
AF386,2026-05-10 11:45:00,168,5,2
EK387,2026-05-10 11:00:00,133,0,2
AF388,2026-05-10 12:00:00,169,45,2
EK389,2026-05-10 12:15:00,162,0,2
AA390,2026-05-10 13:45:00,195,0,2
LH391,2026-05-10 13:00:00,185,0,2
TK392,2026-05-10 14:15:00,189,0,2
UA393,2026-05-10 14:15:00,200,10,2
DL394,2026-05-10 15:15:00,186,0,2
TK395,2026-05-10 15:30:00,172,20,2
EK396,2026-05-10 16:30:00,244,5,3
TK397,2026-05-10 16:45:00,244,10,3
FR398,2026-05-10 17:30:00,373,0,4
QR399,2026-05-10 17:15:00,306,0,3
AF400,2026-05-10 17:45:00,381,0,4
DL401,2026-05-10 18:45:00,350,0,4
EK402,2026-05-10 18:15:00,327,0,4
DL403,2026-05-10 18:00:00,349,0,4
AF404,2026-05-10 19:45:00,292,5,3
DL405,2026-05-10 19:00:00,290,30,3
AF406,2026-05-10 20:45:00,198,0,2
AA407,2026-05-10 20:30:00,178,10,2
EK408,2026-05-10 21:15:00,196,0,2
LH409,2026-05-10 21:45:00,155,5,2
QR410,2026-05-10 22:45:00,118,10,2
LH411,2026-05-11 05:45:00,113,0,2
TK412,2026-05-11 05:15:00,158,5,2
DL413,2026-05-11 06:15:00,252,0,3
AA414,2026-05-11 06:00:00,239,10,2
TK415,2026-05-11 06:30:00,214,0,2
TK416,2026-05-11 07:15:00,243,30,3
AF417,2026-05-11 07:00:00,340,0,4
TK418,2026-05-11 07:45:00,277,0,3
AA419,2026-05-11 07:00:00,346,0,4
DL420,2026-05-11 08:30:00,332,0,4
EK421,2026-05-11 08:00:00,272,0,3
FR422,2026-05-11 08:45:00,225,0,2
FR423,2026-05-11 09:30:00,172,0,2
LH424,2026-05-11 09:45:00,181,0,2
AF425,2026-05-11 10:45:00,148,5,2
BA426,2026-05-11 10:45:00,127,0,2
EK427,2026-05-11 11:45:00,152,10,2
LH428,2026-05-11 11:45:00,164,0,2
BA429,2026-05-11 12:15:00,201,0,2
DL430,2026-05-11 12:45:00,147,0,2
AA431,2026-05-11 13:15:00,149,0,2
LH432,2026-05-11 13:00:00,163,0,2
UA433,2026-05-11 14:00:00,185,0,2
EK434,2026-05-11 14:00:00,189,10,2
AF435,2026-05-11 15:30:00,199,0,2
LH436,2026-05-11 15:45:00,170,0,2
EK437,2026-05-11 16:45:00,261,5,3
AF438,2026-05-11 16:15:00,199,5,2
AA439,2026-05-11 17:00:00,363,0,4
UA440,2026-05-11 17:30:00,339,0,4
EK441,2026-05-11 17:15:00,353,10,4
LH442,2026-05-11 18:00:00,311,20,3
BA443,2026-05-11 18:00:00,339,20,4
UA444,2026-05-11 18:45:00,321,0,4
AA445,2026-05-11 19:15:00,283,0,3
BA446,2026-05-11 19:00:00,277,5,3
UA447,2026-05-11 20:00:00,195,0,2
DL448,2026-05-11 20:00:00,201,20,2
TK449,2026-05-11 21:15:00,184,15,2
AF450,2026-05-11 21:30:00,158,0,2
FR451,2026-05-11 22:30:00,112,0,2
QR452,2026-05-12 05:30:00,116,0,2
AF453,2026-05-12 05:00:00,122,0,2
FR454,2026-05-12 06:15:00,194,0,2
FR455,2026-05-12 06:15:00,206,0,2
BA456,2026-05-12 06:45:00,171,0,2
UA457,2026-05-12 07:00:00,217,0,2
TK458,2026-05-12 07:45:00,272,0,3
BA459,2026-05-12 07:15:00,265,5,3
BA460,2026-05-12 07:30:00,279,15,3
DL461,2026-05-12 08:45:00,345,0,4
DL462,2026-05-12 08:30:00,250,0,3
BA463,2026-05-12 08:15:00,153,0,2
DL464,2026-05-12 09:45:00,159,20,2
UA465,2026-05-12 09:45:00,134,0,2
QR466,2026-05-12 10:15:00,115,0,2
FR467,2026-05-12 10:15:00,103,0,2
EK468,2026-05-12 11:30:00,134,5,2
LH469,2026-05-12 11:00:00,130,0,2
AA470,2026-05-12 12:45:00,151,10,2
TK471,2026-05-12 12:45:00,127,0,2
QR472,2026-05-12 13:15:00,156,15,2
FR473,2026-05-12 13:15:00,125,0,2
AA474,2026-05-12 14:00:00,177,15,2
EK475,2026-05-12 14:15:00,145,0,2
QR476,2026-05-12 15:30:00,189,0,2
TK477,2026-05-12 15:15:00,179,0,2
UA478,2026-05-12 16:15:00,178,0,2
BA479,2026-05-12 16:00:00,173,0,2
FR480,2026-05-12 17:30:00,253,0,3
QR481,2026-05-12 17:00:00,248,0,3
UA482,2026-05-12 17:15:00,274,0,3
QR483,2026-05-12 18:30:00,308,0,3
DL484,2026-05-12 18:00:00,243,0,3
TK485,2026-05-12 18:45:00,283,0,3
AA486,2026-05-12 19:00:00,207,0,2
AF487,2026-05-12 19:45:00,189,0,2
UA488,2026-05-12 20:00:00,186,0,2
BA489,2026-05-12 20:45:00,176,0,2
AF490,2026-05-12 21:45:00,158,0,2
AF491,2026-05-12 21:45:00,116,0,2
AA492,2026-05-12 22:15:00,130,0,2
EK493,2026-05-13 05:30:00,115,0,2
QR494,2026-05-13 05:15:00,128,20,2
QR495,2026-05-13 06:30:00,181,0,2
EK496,2026-05-13 06:30:00,213,0,2
TK497,2026-05-13 06:45:00,160,0,2
LH498,2026-05-13 07:45:00,246,0,3
BA499,2026-05-13 07:45:00,272,0,3
TK500,2026-05-13 07:45:00,242,0,3
AF501,2026-05-13 07:45:00,239,10,2
AA502,2026-05-13 08:45:00,306,0,3
BA503,2026-05-13 08:30:00,242,0,3
DL504,2026-05-13 08:15:00,183,0,2
UA505,2026-05-13 09:45:00,134,20,2
AF506,2026-05-13 09:30:00,121,5,2
AA507,2026-05-13 10:45:00,129,0,2
EK508,2026-05-13 10:15:00,109,0,2
TK509,2026-05-13 11:15:00,139,10,2
DL510,2026-05-13 11:45:00,133,0,2
LH511,2026-05-13 12:15:00,129,0,2
QR512,2026-05-13 12:15:00,145,10,2
AA513,2026-05-13 13:00:00,149,20,2
LH514,2026-05-13 13:15:00,146,10,2
BA515,2026-05-13 14:30:00,173,10,2
QR516,2026-05-13 14:15:00,129,0,2
LH517,2026-05-13 15:30:00,184,0,2
UA518,2026-05-13 15:15:00,146,10,2
BA519,2026-05-13 16:45:00,181,0,2
UA520,2026-05-13 16:30:00,163,0,2
TK521,2026-05-13 17:00:00,270,0,3
DL522,2026-05-13 17:30:00,218,0,2
LH523,2026-05-13 17:30:00,295,0,3
TK524,2026-05-13 18:45:00,341,10,4
AF525,2026-05-13 18:45:00,254,0,3
DL526,2026-05-13 18:30:00,268,5,3
TK527,2026-05-13 19:30:00,226,0,2
TK528,2026-05-13 19:00:00,191,30,2
AF529,2026-05-13 20:15:00,152,0,2
EK530,2026-05-13 20:30:00,156,0,2
FR531,2026-05-13 21:30:00,139,0,2
BA532,2026-05-13 21:15:00,121,0,2
AA533,2026-05-13 22:00:00,93,0,2
TK534,2026-05-14 05:45:00,125,0,2
LH535,2026-05-14 05:00:00,139,0,2
QR536,2026-05-14 06:45:00,214,0,2
BA537,2026-05-14 06:00:00,213,0,2
AA538,2026-05-14 06:15:00,201,20,2
AA539,2026-05-14 07:45:00,226,0,2
EK540,2026-05-14 07:15:00,316,0,3
EK541,2026-05-14 07:00:00,285,0,3
AA542,2026-05-14 07:30:00,295,0,3
BA543,2026-05-14 08:45:00,315,15,3
EK544,2026-05-14 08:45:00,332,0,4
AA545,2026-05-14 08:00:00,155,5,2
AA546,2026-05-14 09:00:00,174,0,2
LH547,2026-05-14 09:00:00,150,0,2
DL548,2026-05-14 10:30:00,148,20,2
BA549,2026-05-14 10:45:00,114,0,2
FR550,2026-05-14 11:15:00,153,0,2
AA551,2026-05-14 11:15:00,118,0,2
QR552,2026-05-14 12:30:00,173,0,2
LH553,2026-05-14 12:15:00,162,0,2
QR554,2026-05-14 13:15:00,139,0,2
FR555,2026-05-14 13:15:00,144,15,2
UA556,2026-05-14 14:00:00,150,0,2
UA557,2026-05-14 14:15:00,164,20,2
UA558,2026-05-14 15:30:00,155,0,2
FR559,2026-05-14 15:30:00,153,0,2
LH560,2026-05-14 16:00:00,188,0,2
AA561,2026-05-14 16:00:00,210,0,2
TK562,2026-05-14 17:45:00,332,0,4
UA563,2026-05-14 17:30:00,298,15,3
EK564,2026-05-14 17:00:00,333,0,4
AF565,2026-05-14 18:15:00,352,5,4
UA566,2026-05-14 18:15:00,343,20,4
UA567,2026-05-14 18:15:00,249,5,3
AF568,2026-05-14 19:30:00,249,0,3
DL569,2026-05-14 19:30:00,237,5,2
TK570,2026-05-14 20:30:00,167,0,2
EK571,2026-05-14 20:45:00,176,5,2
BA572,2026-05-14 21:15:00,152,10,2
FR573,2026-05-14 21:30:00,149,0,2
TK574,2026-05-14 22:15:00,109,0,2
QR575,2026-05-15 05:30:00,130,0,2
FR576,2026-05-15 05:45:00,169,10,2
QR577,2026-05-15 06:15:00,263,0,3
DL578,2026-05-15 06:15:00,284,0,3
BA579,2026-05-15 06:30:00,203,15,2
LH580,2026-05-15 07:15:00,276,0,3
BA581,2026-05-15 07:15:00,374,0,4
BA582,2026-05-15 07:15:00,303,0,3
QR583,2026-05-15 07:15:00,372,0,4
LH584,2026-05-15 08:00:00,337,0,4
FR585,2026-05-15 08:00:00,362,0,4
EK586,2026-05-15 08:30:00,229,0,2
DL587,2026-05-15 09:15:00,197,0,2
EK588,2026-05-15 09:00:00,187,0,2
BA589,2026-05-15 10:00:00,167,45,2
LH590,2026-05-15 10:30:00,158,0,2
UA591,2026-05-15 11:15:00,159,0,2
QR592,2026-05-15 11:30:00,148,0,2
AF593,2026-05-15 12:45:00,180,0,2
AF594,2026-05-15 12:45:00,185,0,2
QR595,2026-05-15 13:30:00,198,0,2
FR596,2026-05-15 13:15:00,178,0,2
AF597,2026-05-15 14:15:00,183,5,2
DL598,2026-05-15 14:00:00,209,20,2
FR599,2026-05-15 15:00:00,187,10,2
LH600,2026-05-15 15:30:00,202,0,2
LH601,2026-05-15 16:00:00,247,20,3
TK602,2026-05-15 16:15:00,249,0,3
LH603,2026-05-15 17:15:00,390,5,4
QR604,2026-05-15 17:15:00,280,0,3
BA605,2026-05-15 17:30:00,419,0,5
AF606,2026-05-15 18:15:00,370,0,4
